relation_id,sentence_id,description,is_true,expectation,words,c_start,c_length,p_start,p_length,p_length,features,weights
2862895@11_3-2862895@11_10,2862895@11,Fernand Leduc-Jean Bazaine,,0.224,"{In,Paris,"","",Leduc,developed,a,friendship,with,the,painter,Jean,Bazaine,"","",who,was,at,the,time,producing,works,which,could,be,described,as,abstracted,landscapes,.}",10,2,3,1,1,"{""INV_BETW_L_[prep_with dobj nsubj]"",INV_NGRAM_1_[painter],INV_NGRAM_1_[develop],INV_NGRAM_1_[friendship],""INV_BETW_[prep_with friendship dobj develop nsubj]"",""INV_BETW_D_[prep_with friendship dobj develop nsubj]""}","{-0.552424,-0.344265,-0.239595,-0.178977,-0.0137797,-0.0137797}"
33350112@24_0-33350112@24_25,33350112@24,Pei Zhi-Lu Yi,,0.412,"{Pei,was,not,targeted,in,the,first,wave,"","",which,claimed,the,lives,of,former,chancellors,Pei,Shu,"","",Dugu,"","",Cui,Yuan,"","",and,Lu,Yi,"","",among,others,.}",25,2,0,1,1,"{INV_NGRAM_1_[claim],INV_NGRAM_1_[first],INV_NGRAM_1_[former],INV_NGRAM_1_[life],INV_NGRAM_1_[target],""INV_BETW_L_[conj_and prep_in nsubjpass]""}","{-0.448979,-0.344585,0.297861,0.177875,-0.0874715,0.079179}"
23737194@24_2-23737194@24_0,23737194@24,Greg Quill-McNeil,,0.358,"{McNeil,produced,Quill,'s,first,commercial,recording,"","",the,single,"","",``,Fleetwood,Plain,'',"","",and,the,subsequent,album,of,the,same,name,.}",0,1,2,1,1,"{people_between_bucket=0,""BETW_L_[nsubj dobj poss]"",NGRAM_1_[produce],""BETW_[nsubj produce dobj recording poss]"",""BETW_D_[nsubj produce dobj recording poss]"",WORD_SEQ_[produced]}","{-0.729378,0.282705,-0.124848,-0.00608192,-0.00608192,-0.00608192}"
483360@112_0-483360@112_10,483360@112,Jared Leto-Chapman,,0.278,"{Leto,prepared,for,his,role,by,relying,on,interviews,with,Chapman,and,on,audiotapes,recorded,by,a,librarian,which,the,actor,met,during,a,visit,to,the,inmate,'s,hometown,.}",10,1,0,1,1,"{INV_NGRAM_1_[role],INV_NGRAM_1_[interview],INV_NGRAM_1_[prepare],INV_NGRAM_1_[rely],""INV_BETW_[prep_with interview prep_on rely prepc_by prepare nsubj]"",""INV_BETW_D_[prep_with interview prep_on rely prepc_by prepare nsubj]""}","{-0.678928,-0.191367,-0.0717359,-0.0113732,-0.000999205,-0.000999205}"
8515555@24_7-8515555@24_9,8515555@24,Bob Addy-Bob,f,0.108,"{Utah,State,History/Utah,Historical,Quarterly,:,``,Addy,"","",Bob,"","",baseball,player,"","",52,:,154,55,''}",9,1,7,1,1,"{INV_BETW_D_[appos],INV_BETW_L_[appos],INV_BETW_[appos]}","{-0.675922,-0.675922,-0.675336}"
62896@242_1-62896@242_8,62896@242,George McGovern-Humphrey,,0.596,"{While,McGovern,privately,favored,Kennedy,"","",McCarthy,and,Humphrey,were,both,from,the,neighboring,state,of,Minnesota,and,publicly,McGovern,remained,neutral,.}",8,1,1,1,1,"{INV_NGRAM_1_[favor],INV_NGRAM_1_[privately],""INV_BETW_L_[conj_and nsubj advcl nsubj]"",""INV_NGRAM_2_[privately favor]""}","{0.198702,0.021992,-0.0118762,0.00276418}"
6352350@4_0-6352350@4_4,6352350@4,John Gregory Crace-Kate Marion Crace,,0.974,"{Crace,was,born,to,Kate,Marion,Crace,and,Edward,Kendall,Crace,at,Gungahlin,"","",New,South,Wales,-LRB-,now,part,of,the,Australian,Capital,Territory,-RRB-,.}",4,3,0,1,1,"{INV_NGRAM_1_[bear],""INV_BETW_[prep_to bear nsubjpass]"",""INV_BETW_D_[prep_to bear nsubjpass]"",""INV_BETW_L_[prep_to nsubjpass]""}","{2.23147,0.700872,0.7006,0.252443}"
747162@8_5-747162@8_8,747162@8,Ivan Franko-Myron,,0.354,"{At,home,"","",however,"","",Ivan,was,called,Myron,because,of,a,local,superstitious,belief,that,naming,a,person,by,different,name,will,dodge,a,death,.}",8,1,5,1,1,"{INV_NGRAM_1_[call],""INV_BETW_L_[dobj nsubjpass]"",""INV_BETW_D_[dobj call nsubjpass]"",""INV_BETW_[dobj call nsubjpass]""}","{-0.525382,-0.115127,0.00135412,0.00135412}"
149337@190_27-149337@190_22,149337@190,Shivaji-Jayram Pindye,,0.36,"{The,house,of,Shivaji,was,well,acquainted,with,Sanskrit,and,promoted,the,language,;,his,father,Shahaji,had,supported,scholars,such,as,Jayram,Pindye,"","",who,prepared,Shivaji,'s,seal,.}",22,2,27,1,1,"{people_between_bucket=0,NGRAM_1_[prepare],""BETW_[rcmod prepare dobj seal poss]"",""BETW_D_[rcmod prepare dobj seal poss]"",""BETW_L_[rcmod dobj poss]""}","{-0.729378,0.116717,-0.00615682,-0.00615682,-0.00076126}"
34215485@6_0-34215485@6_11,34215485@6,Adrian Thorne-Hove,,0.88,"{Thorne,was,born,in,Brighton,in,1937,and,attended,Brighton,"","",Hove,and,Sussex,Grammar,School,.}",11,1,0,1,1,"{INV_NGRAM_1_[bear],INV_NGRAM_1_[attend],""INV_BETW_L_[conj_and dobj conj_and nsubjpass]"",INV_NGRAM_1_[1937]}","{2.23147,-0.145102,-0.0589128,-0.0099608}"
2347816@1_0-2347816@1_27,2347816@1,"Wriothesley Russell, 2nd Duke of Bedford-William Russell",f,0.884,"{Wriothesley,Russell,"","",2nd,Duke,of,Bedford,Wriothesley,Russell,"","",2nd,Duke,of,Bedford,KG,-LRB-,1,November,1680,26,May,1711,-RRB-,was,the,son,of,William,Russell,"","",Lord,Russell,"","",and,his,wife,Lady,Rachel,Wriothesley,.}",27,2,0,2,2,"{INV_NGRAM_1_[son],INV_NGRAM_1_[2nd],""INV_BETW_D_[prep_of son nsubj]"",""INV_BETW_[prep_of son nsubj]"",INV_NGRAM_1_[1],INV_NGRAM_1_[26]}","{1.76438,-0.683954,0.606608,0.606464,-0.584415,0.158173}"
21489520@9_30-21489520@9_15,21489520@9,Brandon Voss-Scott Evans,,0.27,"{Chris,Evans,-LRB-,actor,-RRB-,famously,``,outed,'',his,younger,brother,"","",soap,star,Scott,Evans,-LRB-,actor,-RRB-,"","",in,a,January,2009,``,Advocate,'',interview,with,Voss,.}",15,2,30,1,1,"{people_between_bucket=0,NGRAM_1_[2009],NGRAM_1_[advocate],NGRAM_1_[interview],NGRAM_1_[actor],""BETW_L_[appos dobj prep_in prep_with]""}","{-0.729378,-0.148861,-0.131431,-0.125702,0.0778984,-0.0106208}"
12890788@6_18-12890788@6_0,12890788@6,Thomas Sewell-Harwich,,0.28,"{Harwich,was,a,``,Treasury,borough,'',"","",where,the,government,candidate,was,certain,of,success,"","",but,Sewell,had,his,own,interest,in,the,town,as,well,"","",since,his,father-in-law,"","",Thomas,Heath,had,been,its,MP,earlier,in,the,century,.}",0,1,18,1,1,"{people_between_bucket=0,""BETW_L_[nsubj conj_but ccomp nsubj]"",NGRAM_1_[government],NGRAM_1_[candidate],NGRAM_1_[success],NGRAM_1_[certain]}","{-0.729378,0.0867444,-0.0807227,-0.0435193,-0.0377064,0.0352852}"
398837@129_1-398837@129_3,398837@129,Darren Hayes-Conley,,0.46,"{Both,Hayes,and,Conley,share,vocal,duties,on,this,album,.}",3,1,1,1,1,"{INV_BETW_L_[conj_and],INV_BETW_D_[conj_and],INV_BETW_[conj_and]}","{-0.017601,-0.0175534,-0.0157064}"
32401101@2_6-32401101@2_14,32401101@2,"Richard FitzWilliam, 6th Viscount FitzWilliam-Frances Shelley",,0.448,"{FitzWilliam,was,the,eldest,son,of,Richard,FitzWilliam,"","",5th,Viscount,FitzWilliam,"","",by,Frances,Shelley,"","",daughter,of,Sir,John,Shelley,"","",3rd,Baronet,.}",14,2,6,2,2,"{INV_NGRAM_1_[5th],INV_BETW_[prep_by],INV_BETW_D_[prep_by],INV_BETW_L_[prep_by]}","{-0.193582,-0.00982108,-0.00982108,-0.00982108}"
11022@22_10-11022@22_7,11022@22,Francis Hopkinson-George Washington,,0.44,"{On,September,24,"","",1789,"","",President,George,Washington,nominated,Hopkinson,to,the,newly,created,position,of,judge,of,the,United,States,District,Court,for,the,Eastern,District,of,Pennsylvania,.}",7,2,10,1,1,"{people_between_bucket=0,""BETW_L_[nsubj dobj]"",NGRAM_1_[nominate],""BETW_D_[nsubj nominate dobj]"",""BETW_[nsubj nominate dobj]"",WORD_SEQ_[nominated]}","{-0.729378,0.459084,0.0265223,0.00892798,0.00892798,0.00760808}"
33143801@112_34-33143801@112_5,33143801@112,J. Jill Robinson-Carver,,0.184,"{``,I,like,the,way,Carver,writes,dialogue,"","",the,spareness,"","",so,that,when,he,'s,writing,about,something,painful,"","",it,can,make,you,wince,at,how,naked,it,is,"","",'',Robinson,told,an,interviewer,.}",5,1,34,1,1,"{people_between_bucket=0,NGRAM_1_[write],NGRAM_1_[make],NGRAM_1_[something],NGRAM_1_[can],NGRAM_1_[dialogue]}","{-0.729378,-0.578965,-0.116724,-0.0819214,0.0655311,-0.0154555}"
19424555@1_0-19424555@1_3,19424555@1,Iain Lobban-Iain Robert Lobban,,0.096,"{Iain,Lobban,Sir,Iain,Robert,Lobban,"","",-LRB-,born,1960,-RRB-,is,a,former,British,civil,servant,.}",3,3,0,2,2,"{INV_BETW_D_[nn],INV_BETW_L_[nn],INV_BETW_[nn]}","{-0.819983,-0.819235,-0.819235}"
3647872@2_0-3647872@2_6,3647872@2,Antonio Scarfoglio-Edoardo Scarfoglio,t,0.96,"{Antonio,Scarfoglio,was,the,son,of,Edoardo,Scarfoglio,and,Matilde,Serao,"","",both,well-known,Neapolitan,writers,of,the,turn,of,the,20th,century,and,founders,of,``,il,Mattino,'',"","",the,large,Neapolitan,daily,newspaper,.}",6,2,0,2,2,"{INV_NGRAM_1_[son],""INV_BETW_D_[prep_of son nsubj]"",""INV_BETW_[prep_of son nsubj]"",""INV_BETW_L_[prep_of nsubj]""}","{1.76438,0.606608,0.606464,0.0160227}"
1547179@33_0-1547179@33_14,1547179@33,Christoph Schönborn-Sophie,,0.534,"{Christoph,Sch,nborn,is,a,great-grandson,of,the,niece,-LRB-,Marie,Chotek,-RRB-,of,Sophie,"","",Duchess,of,Hohenberg,.}",14,1,0,2,2,"{INV_NGRAM_1_[great-grandson],""INV_BETW_L_[prep_of prep_of nsubj nn]"",INV_NGRAM_1_[niece],""INV_BETW_D_[prep_of niece prep_of great-grandson nsubj nborn nn]"",INV_NGRAM_1_[nborn],""INV_BETW_[prep_of niece prep_of great-grandson nsubj nborn nn]""}","{0.192431,0.0557622,-0.0297916,-0.0010664,-0.0010664,-0.0010664}"
27988025@5_5-27988025@5_26,27988025@5,Fred Maas-John McCain,,0.176,"{For,over,30,years,"","",Fred,Maas,has,participated,in,national,"","",state,and,local,politics,"","",and,worked,for,prominent,political,figures,such,as,"","",John,McCain,"","",Bob,Dole,"","",Jack,Kemp,"","",Pete,du,Pont,"","",Richard,Lugar,and,Mitch,Daniels,.}",26,2,5,2,2,"{INV_NGRAM_1_[state],INV_NGRAM_1_[work],INV_NGRAM_1_[participate],INV_NGRAM_1_[political],INV_NGRAM_1_[figure],INV_NGRAM_1_[national]}","{-0.678814,-0.544445,-0.28743,-0.217845,0.102374,0.0328817}"
2903082@5_31-2903082@5_4,2903082@5,Betty Leslie-Melville-Jock Leslie-Melville,,0.212,"{Along,with,her,husband,Jock,Leslie-Melville,and,their,adopted,giraffe,Daisy,"","",she,was,the,subject,of,the,film,``,The,Last,Giraffe,'',-LRB-,1979,-RRB-,with,Susan,Anspach,playing,Betty,.}",4,2,31,1,1,"{people_between_bucket=2,NGRAM_1_[adopt],NGRAM_1_[film],NGRAM_1_[play],NGRAM_1_[1979],NGRAM_1_[giraffe]}","{-1.00443,0.566194,-0.35023,-0.243776,-0.0697065,-0.0167846}"
22984002@21_30-22984002@21_21,22984002@21,Bolko V the Hussite-Duke Nicholas V of Karni,,0.318,"{His,luck,turned,against,him,on,13,May,1433,"","",in,connection,with,his,defeat,at,the,Battle,of,Trzebnica,against,Duke,Nicholas,V,of,Karni,w.,Despite,this,"","",Bolko,V,managed,to,maintain,until,his,death,the,majority,of,Church,goods,obtained,after,the,secularization,.}",21,5,30,2,2,"{people_between_bucket=0,NGRAM_1_[despite],""BETW_L_[nn prep_of prep_against prep_with prep_in ccomp nsubj]"",""NGRAM_2_[w. despite]"",NGRAM_1_[w.]}","{-0.729378,-0.170355,0.00338392,0.00338392,0.00338392}"
43540387@20_0-43540387@20_3,43540387@20,Jacob Gentry-Danger Mouse,,0.45,"{Gentry,and,musician,Danger,Mouse,had,gone,to,college,together,.}",3,2,0,1,1,"{INV_NGRAM_1_[musician],INV_BETW_L_[conj_and],INV_BETW_D_[conj_and],INV_BETW_[conj_and]}","{-0.0931109,-0.017601,-0.0175534,-0.0157064}"
22781621@74_11-22781621@74_20,22781621@74,Charles Carroll the Settler-Daniel,,0.81,"{Only,the,third,child,"","",named,Charles,and,later,known,as,Charles,Carroll,of,Annapolis,"","",and,their,next,son,Daniel,would,marry,and,have,children,of,their,own,.}",20,1,11,2,2,"{INV_NGRAM_1_[son],INV_NGRAM_1_[next],""INV_BETW_L_[conj_and vmod dep conj_and prep_as]"",""INV_NGRAM_2_[next son]""}","{1.76438,-0.182359,0.00199569,0.00199569}"
3077476@52_0-3077476@52_11,3077476@52,Randy Shannon-Mark Whipple,,0.226,"{Shannon,eventually,hired,former,Pittsburgh,Steelers,and,Philadelphia,Eagles,assistant,coach,Mark,Whipple,for,the,position,.}",11,2,0,1,1,"{""INV_BETW_L_[conj_and dobj nsubj]"",INV_NGRAM_1_[former],INV_NGRAM_1_[coach],INV_NGRAM_1_[hire],INV_NGRAM_1_[eventually],INV_NGRAM_1_[assistant]}","{-0.58343,0.297861,-0.293996,-0.264883,-0.160979,-0.148153}"
44403701@22_9-44403701@22_3,44403701@22,John Zdechlik-Leon Titus,,0.308,"{The,commissioner,"","",Leon,Titus,"","",agreed,to,have,Zdechlik,fill,in,as,the,composer,"","",resulting,in,Zdechlik,'s,first,major,compositional,success,"","",Psalm,46,.}",3,2,9,1,1,"{people_between_bucket=0,NGRAM_1_[agree],""BETW_L_[appos nsubj xcomp dobj nn]""}","{-0.729378,0.0792572,-0.00977693}"
34958732@2_0-34958732@2_19,34958732@2,Rami Bar-Niv-Karol Klein,,0.368,"{Bar-Niv,is,a,graduate,of,the,Rubin,Academy,of,Music,in,Tel,Aviv,"","",where,he,studied,piano,with,Karol,Klein,and,composition,with,Paul,Ben-Haim,"","",Alexander,Boskovitch,"","",and,d,n,P,rtos,.}",19,2,0,1,1,"{INV_NGRAM_1_[study],INV_NGRAM_1_[piano],INV_NGRAM_1_[graduate],""INV_NGRAM_2_[study piano]"",""INV_BETW_L_[prep_with dobj rcmod prep_in prep_of prep_of nsubj]""}","{-0.286876,-0.203513,0.0604897,-0.0267137,-0.00430109}"
15693353@7_0-15693353@7_21,15693353@7,John Nkomo-Robert Mugabe,,0.132,"{Nkomo,was,a,member,of,Joshua,Nkomo,'s,Zimbabwe,African,People,'s,Union,-LRB-,ZAPU,-RRB-,before,the,party,merged,with,Robert,Mugabe,'s,Zimbabwe,African,National,Union,-LRB-,ZANU,-RRB-,to,create,ZANU-PF,in,1987,.}",21,2,0,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[member],INV_NGRAM_1_[party],INV_NGRAM_1_[merge],""INV_BETW_L_[poss prep_with advcl nsubj]"",""INV_NGRAM_2_[party merge]""}","{-1.17199,-0.389138,-0.154319,0.0345969,0.00709933,0.00709933}"
12662679@21_0-12662679@21_5,12662679@21,Edwin Bellorín-Tara,,0.08,"{Bellor,n,married,longtime,girlfriend,Tara,on,June,22,"","",2007,"","",in,Las,Vegas,"","",Nevada,.}",5,1,0,1,1,"{INV_NGRAM_1_[marry],INV_NGRAM_1_[n],""INV_BETW_L_[dobj nsubj nn]"",INV_NGRAM_1_[longtime],INV_NGRAM_1_[girlfriend],""INV_NGRAM_2_[longtime girlfriend]""}","{-1.27006,-0.860368,-0.234406,-0.163456,-0.151462,-0.0741883}"
1335475@24_0-1335475@24_7,1335475@24,Tracy Morgan-Martin,f,0.302,"{Morgan,made,his,screen,debut,on,``,Martin,'',playing,Hustle,Man,.}",7,1,0,1,1,"{INV_NGRAM_1_[make],""INV_BETW_L_[prep_on nsubj]"",INV_NGRAM_1_[debut],INV_NGRAM_1_[screen],""INV_NGRAM_2_[screen debut]"",""INV_BETW_D_[prep_on make nsubj]""}","{-0.883012,-0.190868,0.189154,-0.037541,0.0183052,-0.0110124}"
27171460@10_0-27171460@10_5,27171460@10,Geetha Narayanan Gopal-Nair,,0.924,"{Gopal,was,born,in,a,Nair,family,in,Muvattupuzha,as,the,Second,son,of,Prof,B.,Narayana,Pillai,and,Prof,Geetha,Prakasini,.}",5,1,0,1,1,"{INV_NGRAM_1_[bear],""INV_BETW_L_[nn prep_in nsubjpass]"",""INV_BETW_D_[nn family prep_in bear nsubjpass]"",""INV_BETW_[nn family prep_in bear nsubjpass]""}","{2.23147,0.127424,0.00400452,0.00400452}"
39694172@19_5-39694172@19_28,39694172@19,Spencer Kane-Cody Simpson,,0.14,"{In,between,writing,originals,"","",Spencer,has,covered,songs,from,artists,like,Maroon,5,"","",Moriah,Peters,"","",Justin,Timberlake,"","",Jason,Mraz,"","",Plain,White,Tees,"","",Cody,Simpson,"","",Justin,Bieber,"","",Andrew,Allen,"","",Tori,Kelly,"","",and,Miguel,.}",28,2,5,1,1,"{""INV_BETW_L_[dobj nsubj]"",INV_NGRAM_1_[cover],INV_NGRAM_1_[like],INV_NGRAM_1_[artist],INV_NGRAM_1_[song],INV_NGRAM_1_[5]}","{-0.973964,-0.461631,-0.219054,0.209431,-0.164427,-0.146502}"
8149037@87_0-8149037@87_3,8149037@87,Maksim Chmerkovskiy-Tony Dovolani,,0.402,"{Chmerkovskiy,along,with,Tony,Dovolani,and,Valentin,Chmerkovskiy,opened,Dance,with,Me,Studio,in,Stamford,"","",CT,on,April,16,"","",2012,.}",3,2,0,1,1,"{INV_NGRAM_1_[along],INV_BETW_[pobj],INV_BETW_L_[pobj],INV_BETW_D_[pobj]}","{-0.224122,-0.0625611,-0.0625611,-0.0625611}"
1035748@12_0-1035748@12_25,1035748@12,Peter Malkin-Adolf Eichmann,,0.046,"{Malkin,'s,most,famous,mission,was,on,May,11,"","",1960,"","",when,he,and,a,team,of,Mossad,agents,led,by,Rafi,Eitan,captured,Adolf,Eichmann,"","",a,top,Nazi,official,who,played,a,principal,role,in,organizing,the,Shoah,-LRB-,Nazi,Holocaust,-RRB-,"","",in,Argentina,.}",25,2,0,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[team],INV_NGRAM_1_[lead],INV_NGRAM_1_[1960],INV_NGRAM_1_[11],INV_NGRAM_1_[agent]}","{-1.17199,-0.664721,-0.589478,-0.206911,-0.173306,-0.102575}"
2595496@24_7-2595496@24_2,2595496@24,Chad Wackerman-Chad Wackerman,f,0.32,"{The,current,Chad,Wackerman,Trio,consists,of,Chad,Wackerman,-LRB-,drums,-RRB-,"","",Doug,Lunn,-LRB-,bass,-RRB-,"","",and,Mike,Miller,-LRB-,guitar,-RRB-,.}",2,2,7,2,2,"{people_between_bucket=0,""BETW_L_[nn nsubj prep_of]"",NGRAM_1_[consist]}","{-0.729378,0.085432,-0.00743411}"
18561953@6_0-18561953@6_3,18561953@6,An Yong-bok-Pak Eo-dun,,0.08,"{An,Yong-bok,and,Pak,Eo-dun,-LRB-,-RRB-,were,captured,and,taken,to,the,Yonago,in,the,Tottri,clan,-LRB-,modern-day,Yonago,city,and,Tottori,Prefecture,-RRB-,.}",3,2,0,2,2,"{INV_BETW_D_[nn],INV_BETW_L_[nn],INV_BETW_[nn]}","{-0.819983,-0.819235,-0.819235}"
17303@53_15-17303@53_6,17303@53,Kakinomoto no Hitomaro-Masuda,,0.224,"{It,is,said,that,Kamoshima,in,Masuda,is,Hitomaro,'s,death,place,and,Toda,is,Hitomaro,'s,birthplace,.}",6,1,15,1,1,"{people_between_bucket=1,NGRAM_1_['s],NGRAM_1_[death],NGRAM_1_[place],""NGRAM_2_['s death]"",""NGRAM_3_['s death place]""}","{-0.814187,-0.57959,0.206439,0.155741,-0.00862837,0.00668859}"
32885239@3_18-32885239@3_7,32885239@3,Lara Setrakian-Ben Ali,,0.148,"{Following,the,toppling,of,Tunisia,'s,president,Ben,Ali,during,what,became,known,as,the,Arab,Spring,"","",Setrakian,arrived,in,Egypt,before,the,January,25th,protest,and,was,reporting,live,from,Tahrir,Square,when,Egyptian,President,Hosni,Mubarak,stepped,down,.}",7,2,18,1,1,"{people_between_bucket=0,NGRAM_1_[know],NGRAM_1_[become],""NGRAM_2_[become know]"",""BETW_[prep_of toppling prep_following arrive nsubj]"",""BETW_D_[prep_of toppling prep_following arrive nsubj]""}","{-0.729378,-0.684767,-0.168532,-0.0862843,-0.00918787,-0.00918787}"
95410@46_8-95410@46_0,95410@46,Nusrat Fateh Ali Khan-Rahman,f,0.266,"{Rahman,"","",who,was,a,big,fan,of,Khan,could,not,compose,further,songs,with,him,.}",0,1,8,1,1,"{people_between_bucket=0,NGRAM_1_[fan],NGRAM_1_[big],""BETW_L_[rcmod prep_of]"",""NGRAM_2_[big fan]"",""BETW_D_[rcmod fan prep_of]""}","{-0.729378,-0.229259,-0.120467,0.00843135,0.00462288,3.98097e-05}"
10087269@172_2-10087269@172_8,10087269@172,Grand Duchess Anastasia Mikhailovna of Russia-Friedrich Franz III,,0.294,"{Grand,Duchess,Anastasia,Mikhailovna,and,her,husband,"","",Friedrich,Franz,III,"","",Grand,Duke,of,Mecklenburg-Schwerin,"","",had,three,children,:,Grand,Duchess,Anastasia,Mikhailovna,also,had,an,illegitimate,son,with,Vladimir,Alexandrovich,Paltov,-LRB-,1874,1944,-RRB-,:}",8,3,2,2,2,"{INV_NGRAM_1_[husband],""INV_BETW_L_[appos conj_and]"",""INV_BETW_[appos husband conj_and]"",""INV_BETW_D_[appos husband conj_and]""}","{-0.326467,-0.314356,-0.0586413,-0.0586413}"
15736@76_30-15736@76_14,15736@76,Johannes Kepler-Tycho,,0.15,"{Over,the,next,two,months,he,stayed,as,a,guest,"","",analyzing,some,of,Tycho,'s,observations,of,Mars,;,Tycho,guarded,his,data,closely,"","",but,was,impressed,by,Kepler,'s,theoretical,ideas,and,soon,allowed,him,more,access,.}",14,1,30,1,1,"{people_between_bucket=1,NGRAM_1_['s],NGRAM_1_[closely],NGRAM_1_[guard],NGRAM_1_[impress],NGRAM_1_[observation]}","{-0.814187,-0.57959,0.165132,-0.149562,-0.0726793,0.0099958}"
23230172@16_26-23230172@16_23,23230172@16,Myles Connolly-Alan Roscoe,,0.37,"{Connolly,eventually,befriended,director,Frank,Capra,at,a,cast,and,crew,party,for,``,Ladies,of,Leisure,'',-LRB-,1930,-RRB-,after,actor,Alan,Roscoe,invited,Connolly,to,tag,along,with,him,to,the,event,.}",23,2,26,1,1,"{people_between_bucket=0,""BETW_L_[nsubj dobj]"",NGRAM_1_[invite],WORD_SEQ_[invited],""BETW_D_[nsubj invite dobj]"",""BETW_[nsubj invite dobj]""}","{-0.729378,0.459084,-0.127507,-0.0803036,-0.0645145,-0.0645145}"
12691153@11_0-12691153@11_5,12691153@11,Donald Spitz-Paul Jennings Hill,,0.268,"{Donald,Spitz,was,friends,with,Paul,Jennings,Hill,both,before,Hill,killed,Dr.,John,Britton,and,also,afterwards,"","",up,to,the,time,Hill,was,executed,.}",5,3,0,2,2,"{INV_NGRAM_1_[friend],""INV_BETW_L_[prep_with nsubj]"",""INV_BETW_[prep_with friend nsubj]"",""INV_BETW_D_[prep_with friend nsubj]""}","{-0.573404,-0.326138,-0.0329632,-0.0329632}"
41261011@14_21-41261011@14_25,41261011@14,Jack Wardlaw-Edwards,,0.156,"{Though,Edwards,had,often,cited,``,that,lyin,',Jack,Wardlaw,'',for,Wardlaw,'s,coverage,and,critical,columns,"","",upon,Wardlaw,'s,death,"","",Edwards,said,"","",``,He,was,a,gentleman,.}",25,1,21,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[death],""INV_NGRAM_2_['s death]"",""INV_BETW_L_[nsubj parataxis nsubj prep_upon poss]""}","{-1.17199,-0.41098,-0.204601,0.00610075}"
43613033@1_3-43613033@1_25,43613033@1,Gwen Adshead-Jochelson,,0.802,"{Gwen,Adshead,Dr,Gwen,Adshead,-LRB-,born,1959,or,1960,-RRB-,is,a,forensic,psychotherapist,"","",Visiting,Gresham,Professor,of,Psychiatry,at,Gresham,College,"","",Jochelson,visiting,professor,at,Yale,School,of,Law,and,Psychiatry,"","",and,consultant,forensic,psychiatrist,at,Ravenswood,House,.}",25,1,3,2,2,"{INV_NGRAM_1_[bear],INV_NGRAM_1_[visit],INV_NGRAM_1_[1960],INV_NGRAM_1_[1959],INV_NGRAM_1_[forensic],""INV_NGRAM_2_[forensic psychotherapist]""}","{2.23147,-0.209083,-0.206911,-0.200497,0.00444379,-0.00298934}"
30829098@29_19-30829098@29_11,30829098@29,Denis Payton-Rick Huxley,,0.26,"{Surviving,members,of,the,band,Dave,Clark,"","",Lenny,Davidson,and,Rick,Huxley,were,present,;,Mike,Smith,and,Denis,Payton,were,honored,with,the,band,posthumously,.}",11,2,19,2,2,"{people_between_bucket=2,NGRAM_1_[present],""BETW_L_[conj_and nsubj parataxis nsubjpass conj_and]""}","{-1.00443,-0.0965205,0.00466651}"
16478078@88_2-16478078@88_0,16478078@88,Babar Awan-Aitezaz,,0.28,"{Aitezaz,said,Babar,'s,name,was,given,to,him,by,the,President,and,PM,both,but,Babar,Awan,refused,to,show,up,which,irked,the,President,.}",0,1,2,1,1,"{people_between_bucket=0,NGRAM_1_[say],""BETW_L_[nsubj ccomp nsubjpass poss]"",WORD_SEQ_[said],""BETW_D_[nsubj say ccomp give nsubjpass name poss]"",""BETW_[nsubj say ccomp give nsubjpass name poss]""}","{-0.729378,-0.327728,0.141252,-0.0461446,-0.0035942,-0.0035942}"
13449153@32_4-13449153@32_37,13449153@32,David Eady-Galloway,,0.116,"{In,December,2004,"","",Eady,ruled,in,favor,of,MP,George,Galloway,after,the,``,Daily,Telegraph,'',newspaper,had,reported,that,documents,had,been,found,by,journalist,David,Blair,in,Baghdad,that,appeared,to,show,that,Galloway,had,received,money,from,Saddam,Hussein,'s,regime,.}",37,1,4,1,1,"{INV_NGRAM_1_[appear],INV_NGRAM_1_[find],INV_NGRAM_1_[report],INV_NGRAM_1_[rule],INV_NGRAM_1_[favor],INV_NGRAM_1_[mp]}","{-0.864463,-0.4748,-0.325549,-0.213039,0.198702,-0.124972}"
26437333@1_0-26437333@1_7,26437333@1,Beata Szalwinska-Beata Sza,f,0,"{Beata,Szalwinska,Beata,Szalwinska,-LRB-,Polish,:,Beata,Sza,wi,ska,-RRB-,"","",is,a,Polish,pianist,"","",known,for,her,classical,music,concerts,in,Poland,"","",Germany,"","",Belgium,"","",Denmark,"","",France,"","",Luxembourg,"","",and,Switzerland,living,since,1999,in,Luxembourg,.}",7,2,0,2,2,"{""INV_BETW_L_[nn dep dep nn]""}",{-0.0773575}
601880@151_3-601880@151_7,601880@151,Bolesław Prus-Hrubiesz,,0.906,"{The,town,where,Prus,was,born,"","",Hrubiesz,w,"","",near,the,present,Polish-Ukrainian,border,"","",is,graced,by,an,outdoor,sculpture,of,him,.}",7,1,3,1,1,"{INV_NGRAM_1_[bear],""INV_BETW_[nn w appos town rcmod bear nsubjpass]"",""INV_BETW_D_[nn w appos town rcmod bear nsubjpass]"",""INV_BETW_L_[nn appos rcmod nsubjpass]""}","{2.23147,-0.00614555,-0.00614555,-0.00614555}"
